Constituency,Seats,Registered Voters,PAP,BestOpp
Aljunied GRC,5,144276,41,59
Ang Mo Kio GRC,5,161494,79,11
Bishan–Toa Payoh GRC,4,98679,75,25
Chua Chu Kang GRC,4,93512,63,37
East Coast GRC,5,151024,59,41
Holland–Bukit Timah GRC,4,123169,80,20
Jalan Besar GRC,4,106327,75,25
Jurong East–Bukit Batok GRC,5,142728,76,24
Marine Parade–Braddell Heights GRC,5,131789,100,0
Marsiling–Yew Tee GRC,4,119516,74,26
Nee Soon GRC,5,151836,74,26
Pasir Ris–Changi GRC,4,100706,67,33
Punggol GRC,4,123778,54,46
Sembawang GRC,5,134103,67,31
Sengkang GRC,4,126808,44,56
Tampines GRC,5,148098,53,46
Tanjong Pagar GRC,5,140075,81,19
West Coast–Jurong West GRC,5,158817,61,39
Bukit Gombak SMC,1,26418,75,25
Bukit Panjang SMC,1,33594,62,38
Hougang SMC,1,29466,37,63
Jalan Kayu SMC,1,29620,52,48
Jurong Central SMC,1,29669,81,19
Kebun Baru SMC,1,22251,66,34
Marymount SMC,1,23264,71,29
Mountbatten SMC,1,22831,62,38
Pioneer SMC,1,25195,66,34
Potong Pasir SMC,1,30959,71,21
Queenstown SMC,1,28905,82,18
Radin Mas SMC,1,25559,69,24
Sembawang West SMC,1,24192,53,47
Tampines Changkat SMC,1,24032,55,45
Yio Chu Kang SMC,1,25404,76,24